signal_ghz,status,small_signal_gain_db,small_signal_gain_vs_off_db,p1db_input_dbm,p1db_output_dbm,p1db_pump_depletion_db
5.8,VALID_SOLVED,4.467879818254458,4.467879818254458,-89.6517672125716,-86.18388739431714,0.0018117896826677082
6.0285714285714285,VALID_SOLVED,7.305743536677552,7.305743536677552,-90.65020077462987,-84.34445723795231,-0.1503809051092162
6.257142857142857,VALID_SOLVED,8.788728801256893,8.788728801256893,-90.72151745763404,-82.93278865637714,-0.26124749529808966
6.485714285714286,VALID_SOLVED,12.73694827411388,12.73694827411388,-92.78970126475474,-81.05275299064085,-0.5620639438356303
6.714285714285714,VALID_SOLVED,13.392947995592673,13.392947995592673,-93.14628467977556,-80.75333668418288,-0.7958168182558794
6.942857142857143,VALID_SOLVED,13.644532360229192,13.644532360229192,-92.57575121574226,-79.93121885551307,-0.9586421004108541
7.171428571428571,VALID_SOLVED,13.233117622795598,13.233117622795598,-91.36336760467148,-79.13024998187588,-0.8312889753643375
7.4,VALID_SOLVED,14.680226944867822,14.680226944867822,-92.36180116672975,-78.68157422186192,-1.0894461396354256
7.628571428571428,VALID_SOLVED,16.214051625179422,16.214051625179422,-94.07340155882966,-78.85934993365024,-0.5147717100179197
7.857142857142858,VALID_SOLVED,15.123148469954975,15.123148469954975,-93.00365131376722,-78.88050284381225,-1.2232527654235898
8.085714285714285,VALID_SOLVED,13.093812516130095,13.093812516130095,-91.86258438570061,-79.76877186957051,-0.7361087748806501
8.314285714285715,VALID_SOLVED,14.61857811063812,14.61857811063812,-92.36180116672975,-78.74322305609162,-0.7700283329418731
8.542857142857143,VALID_SOLVED,12.499545992981282,12.499545992981282,-91.22073423866317,-79.72118824568189,-0.4779439493028388
8.771428571428572,VALID_SOLVED,11.584731489466138,11.584731489466138,-90.07966731059656,-79.49493582113043,-0.3048545355557817
9.0,VALID_SOLVED,6.919911730777021,6.919911730777021,-87.65490008845504,-81.73498835767802,-0.1606973016225126
