signal_ghz,signal_power_dbm,compression_db,phase_shift_rad,point_status
5.8,-156.02059991327963,0.0,0.0,VALID_SOLVED
5.8,-150.68726657994628,6.022181802123328e-07,-8.748232049882176e-08,VALID_SOLVED
5.8,-145.35393324661297,2.6585692216585244e-06,-3.861949378070051e-07,VALID_SOLVED
5.8,-140.02059991327963,9.680070962581055e-06,-1.4061631241624184e-06,VALID_SOLVED
5.8,-134.6872665799463,3.365530320387222e-05,-4.888886625753486e-06,VALID_SOLVED
5.8,-129.35393324661294,0.00011551932407716237,-1.6780726233900367e-05,VALID_SOLVED
5.8,-124.02059991327963,0.00039504128326672827,-5.738494420537421e-05,VALID_SOLVED
5.8,-118.68726657994628,0.001349391083697249,-0.00019602465901336075,VALID_SOLVED
5.8,-113.35393324661297,0.004607054312024239,-0.000669323325605653,VALID_SOLVED
5.8,-108.02059991327963,0.015718665784782537,-0.002284342001999118,VALID_SOLVED
5.8,-102.68726657994631,0.05352139375419007,-0.007785612102160666,VALID_SOLVED
5.8,-97.35393324661295,0.18097143836160345,-0.02639099717476423,VALID_SOLVED
5.8,-92.02059991327963,0.5969328634812512,-0.0873815073980464,VALID_SOLVED
5.8,-86.68726657994628,1.834935429987961,-0.28167036121864797,VALID_SOLVED
5.8,-81.35393324661295,4.160582271756467,-0.8142280754085482,VALID_SOLVED
5.8,-76.02059991327963,3.393781381862925,-2.068371331142368,VALID_SOLVED
6.03,-156.02059991327963,0.0,0.0,VALID_SOLVED
6.03,-150.68726657994628,7.899131917454838e-07,-8.139114404670522e-08,VALID_SOLVED
6.03,-145.35393324661297,3.487062592455459e-06,-3.593051158823357e-07,VALID_SOLVED
6.03,-140.02059991327963,1.2696642945009273e-05,-1.3082552405840886e-06,VALID_SOLVED
6.03,-134.6872665799463,4.414306795208489e-05,-4.548483351740629e-06,VALID_SOLVED
6.03,-129.35393324661294,0.0001515170304555724,-1.561230186686302e-05,VALID_SOLVED
6.03,-124.02059991327963,0.0005181343813331907,-5.3389099463618805e-05,VALID_SOLVED
6.03,-118.68726657994628,0.0017697280230519752,-0.00018237422617284338,VALID_SOLVED
6.03,-113.35393324661297,0.00604078663181884,-0.0006227001936980336,VALID_SOLVED
6.03,-108.02059991327963,0.02059449014024395,-0.0021250658371987363,VALID_SOLVED
6.03,-102.68726657994631,0.06994204310738361,-0.007241214069808599,VALID_SOLVED
6.03,-97.35393324661295,0.2345283076381266,-0.02453714562864917,VALID_SOLVED
6.03,-92.02059991327963,0.7555943299432588,-0.08131829213694308,VALID_SOLVED
6.03,-86.68726657994628,2.209963180744352,-0.2625790322126309,VALID_SOLVED
6.03,-81.35393324661295,5.499806107051678,-0.8064442030676164,VALID_SOLVED
6.03,-76.02059991327963,6.599389110362934,-1.8491816420629499,VALID_SOLVED
6.257,-156.02059991327963,0.0,0.0,VALID_SOLVED
6.257,-150.68726657994628,8.016154282586285e-07,-8.11102864872737e-08,VALID_SOLVED
6.257,-145.35393324661297,3.53870988156757e-06,-3.580652565560172e-07,VALID_SOLVED
6.257,-140.02059991327963,1.2884681620306537e-05,-1.3037407664562295e-06,VALID_SOLVED
6.257,-134.6872665799463,4.479681891744747e-05,-4.532787279298844e-06,VALID_SOLVED
6.257,-129.35393324661294,0.0001537609889084024,-1.555842217149106e-05,VALID_SOLVED
6.257,-124.02059991327963,0.0005258082444310475,-5.320479907000575e-05,VALID_SOLVED
6.257,-118.68726657994628,0.0017959209861739822,-0.00018174442200269425,VALID_SOLVED
6.257,-113.35393324661297,0.006130061332616066,-0.0006205458603392167,VALID_SOLVED
6.257,-108.02059991327963,0.020897316607007,-0.002117669573162395,VALID_SOLVED
6.257,-102.68726657994631,0.07095301166857126,-0.007215553963024757,VALID_SOLVED
6.257,-97.35393324661295,0.23772772905289052,-0.024447000831631538,VALID_SOLVED
6.257,-92.02059991327963,0.763903258015203,-0.08102472615252543,VALID_SOLVED
6.257,-86.68726657994628,2.206704240297567,-0.26012480464761323,VALID_SOLVED
6.257,-81.35393324661295,5.414092014039257,-0.8074904005537125,VALID_SOLVED
6.257,-76.02059991327963,8.96697849395072,-1.8990327938096212,VALID_SOLVED
6.49,-156.02059991327963,0.0,0.0,VALID_SOLVED
6.49,-150.68726657994628,1.3147564335014295e-06,-1.1009774958381513e-07,VALID_SOLVED
6.49,-145.35393324661297,5.804108987206291e-06,-4.860316638044537e-07,VALID_SOLVED
6.49,-140.02059991327963,2.1133173824239293e-05,-1.7696740370887198e-06,VALID_SOLVED
6.49,-134.6872665799463,7.347466734053398e-05,-6.152705897655153e-06,VALID_SOLVED
6.49,-129.35393324661294,0.0002521933544965549,-2.1118458960689424e-05,VALID_SOLVED
6.49,-124.02059991327963,0.0008623915124488235,-7.221598250595207e-05,VALID_SOLVED
6.49,-118.68726657994628,0.0029452048024598554,-0.0002466645749761298,VALID_SOLVED
6.49,-113.35393324661297,0.010049394971369807,-0.0008419425996719632,VALID_SOLVED
6.49,-108.02059991327963,0.03421725410717791,-0.0028701225116423146,VALID_SOLVED
6.49,-102.68726657994631,0.11571183521175143,-0.009744044982535005,VALID_SOLVED
6.49,-97.35393324661295,0.38268400627877774,-0.032624359983712825,VALID_SOLVED
6.49,-92.02059991327963,1.1844727299801594,-0.10436875591494976,VALID_SOLVED
6.49,-86.68726657994628,3.142286386308129,-0.3087732158139942,VALID_SOLVED
6.49,-81.35393324661295,6.757375079290698,-0.8477563614092727,VALID_SOLVED
6.49,-76.02059991327963,11.938834049449097,-2.0406000162970086,VALID_SOLVED
6.71,-156.02059991327963,0.0,0.0,VALID_SOLVED
6.71,-150.68726657994628,1.5367340360228354e-06,-1.4424989736028238e-07,VALID_SOLVED
6.71,-145.35393324661297,6.783917143593499e-06,-6.367978446775169e-07,VALID_SOLVED
6.71,-140.02059991327963,2.4700628088680787e-05,-2.3186224380467024e-06,VALID_SOLVED
6.71,-134.6872665799463,8.587761063694188e-05,-8.06124292562771e-06,VALID_SOLVED
6.71,-129.35393324661294,0.00029476348242951644,-2.7669097114824126e-05,VALID_SOLVED
6.71,-124.02059991327963,0.0010079454866112059,-9.461402967492205e-05,VALID_SOLVED
6.71,-118.68726657994628,0.003442002940575506,-0.0003231449936427211,VALID_SOLVED
6.71,-113.35393324661297,0.011741446144771572,-0.0011027091569326686,VALID_SOLVED
6.71,-108.02059991327963,0.03994294639864826,-0.003755751742780866,VALID_SOLVED
6.71,-102.68726657994631,0.1346736935240802,-0.01271282850071298,VALID_SOLVED
6.71,-97.35393324661295,0.44121721680700965,-0.04214898123406208,VALID_SOLVED
6.71,-92.02059991327963,1.3301624186874612,-0.13152162264042744,VALID_SOLVED
6.71,-86.68726657994628,3.3628558236545256,-0.3793373554172046,VALID_SOLVED
6.71,-81.35393324661295,6.767328881041604,-0.9776367119030738,VALID_SOLVED
6.71,-76.02059991327963,13.328150969754809,-1.986313589201588,VALID_SOLVED
6.943,-156.02059991327963,0.0,0.0,VALID_SOLVED
6.943,-150.68726657994628,1.2632076256124947e-06,-1.2955156414307112e-07,VALID_SOLVED
